Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,LeBron James\jamesle01,32,21,21,36.7,9.2,17.9,.517,1.7,4.6,.365,7.6,13.3,.570,.564,4.9,7.0,.701,1.2,6.5,7.7,9.1,1.3,0.5,4.0,1.8,25.0
2,Kyrie Irving\irvinky01,24,22,22,34.0,9.0,18.6,.482,2.5,5.8,.430,6.5,12.8,.505,.549,3.5,4.0,.865,0.7,2.3,3.0,4.7,0.5,0.2,2.5,2.0,23.9
3,Kevin Love\loveke01,28,22,22,32.0,6.9,14.9,.460,2.6,6.4,.407,4.3,8.5,.500,.547,5.4,6.3,.856,2.5,7.8,10.3,1.6,1.0,0.5,2.0,2.0,21.7
4,J.R. Smith\smithjr01,31,17,17,29.5,2.5,8.1,.312,2.2,6.8,.328,0.3,1.3,.227,.449,0.4,0.4,1.000,0.4,1.8,2.1,1.3,1.4,0.5,0.7,2.6,7.6
5,Tristan Thompson\thomptr01,25,22,22,29.1,2.7,4.4,.615,0.0,0.0,.000,2.7,4.3,.621,.615,1.2,2.7,.458,3.4,6.9,10.3,0.9,0.5,1.4,0.6,2.3,6.6
6,Iman Shumpert\shumpim01,26,21,1,22.2,2.4,4.9,.495,1.3,2.8,.475,1.1,2.1,.523,.631,1.0,1.2,.880,0.5,2.2,2.7,1.8,1.0,0.3,1.4,2.2,7.2
7,Richard Jefferson\jefferi01,36,22,2,18.3,1.7,3.8,.440,0.7,2.1,.348,1.0,1.7,.553,.536,0.5,0.6,.714,0.2,2.2,2.5,1.0,0.3,0.1,0.5,1.5,4.5
8,Channing Frye\fryech01,33,15,0,17.7,3.5,7.8,.453,2.5,5.1,.481,1.1,2.7,.400,.611,0.9,0.9,.929,0.5,2.6,3.1,0.7,0.4,0.7,0.7,1.9,10.4
9,Mike Dunleavy\dunlemi02,36,17,1,15.4,1.3,3.8,.338,0.8,2.6,.295,0.5,1.2,.429,.438,0.6,0.7,.833,0.1,1.6,1.6,0.9,0.2,0.1,0.4,1.1,3.9
