Player,G,FGA,FG%,3PA,3P%,2PA,2P%,eFG%,FTA,FT%,Total Rebounds,Assist,Steal,Block,PTS
Draymond Green,8.10,4.10,4.90,3.58,3.88,5.61,5.37,5.51,6.29,6.96,7.69,8.98,6.19,6.13,6.13
Stephen Curry,7.90,7.99,5.04,9.86,4.54,7.12,5.66,6.30,7.00,9.08,4.30,8.27,6.69,5.15,7.38
Klay Thompson,8.00,6.93,4.70,7.50,4.25,7.36,5.10,5.69,5.21,8.73,3.06,4.66,5.60,5.49,6.77
Harrison Barnes,6.60,3.17,4.66,3.14,3.83,4.19,5.08,5.31,4.34,7.61,3.25,4.17,5.41,5.10,5.77
Andre Iguodala,6.50,1.84,4.78,2.54,3.51,2.14,5.70,5.52,3.83,6.14,2.63,5.19,5.73,5.19,5.46
Shaun Livingston,7.80,1.90,5.36,1.12,1.67,3.67,0.55,0.54,3.01,8.60,1.69,5.37,5.57,5.27,5.49
Andrew Bogut,7.00,1.40,6.27,1.01,10.00,2.78,0.63,0.63,3.00,4.80,4.92,4.62,5.33,6.14,5.38
