Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kevin Durant\duranke01,28,25,25,34.4,9.0,16.8,.536,1.9,4.7,.407,7.1,12.1,.586,.593,5.9,6.8,.865,0.7,7.7,8.4,4.6,1.4,1.6,2.1,2.2,25.8
2,Klay Thompson\thompkl01,26,25,25,33.8,8.2,17.4,.472,3.0,7.8,.378,5.3,9.6,.550,.557,2.4,2.6,.894,0.6,3.0,3.6,2.0,0.6,0.3,1.9,2.1,21.8
3,Stephen Curry\curryst01,28,25,25,33.3,8.2,17.0,.481,3.8,9.5,.395,4.4,7.5,.590,.592,5.2,5.6,.936,0.7,3.5,4.2,5.8,1.7,0.2,2.9,2.6,25.4
4,Draymond Green\greendr01,26,24,24,32.9,3.9,8.8,.443,1.2,3.4,.354,2.7,5.4,.500,.512,1.9,2.9,.657,1.8,6.5,8.3,6.9,2.3,1.3,2.0,3.0,11.0
5,Andre Iguodala\iguodan01,33,24,0,24.8,2.3,5.1,.447,0.7,2.4,.298,1.6,2.8,.576,.516,0.5,0.9,.571,0.5,2.9,3.4,3.6,0.9,0.3,0.6,1.3,5.8
6,Zaza Pachulia\pachuza01,32,23,23,17.5,1.7,3.4,.500,0.0,0.0,,1.7,3.4,.500,.500,1.0,1.2,.786,2.0,3.6,5.5,2.4,0.8,0.5,1.4,2.0,4.3
7,Shaun Livingston\livinsh01,31,24,0,17.4,2.1,3.6,.593,0.0,0.0,.000,2.1,3.5,.600,.593,0.5,0.9,.500,0.5,1.6,2.1,1.7,0.4,0.1,0.8,1.5,4.7
8,Ian Clark\clarkia01,25,22,0,14.0,2.6,5.2,.500,0.9,2.3,.392,1.7,2.9,.587,.588,0.5,0.7,.688,0.2,1.3,1.5,1.1,0.4,0.2,0.4,0.9,6.6
9,Patrick McCaw\mccawpa01,21,20,0,13.3,1.3,3.1,.426,0.7,1.8,.389,0.6,1.3,.480,.541,0.2,0.3,.500,0.3,0.9,1.2,1.1,0.4,0.4,0.6,1.1,3.5
